"AU107701"	"HMDB:HMDB01830"
"AU107702"	"HMDB:HMDB01830"
"AU107703"	"HMDB:HMDB01830"
"AU107704"	"HMDB:HMDB01830"
"AU107705"	"HMDB:HMDB01830"
"AU107706"	"HMDB:HMDB01830"
"AU110001"	"HMDB:HMDB01937"
"AU110002"	"HMDB:HMDB01937"
"AU110601"	"HMDB:HMDB01924"
"AU110602"	"HMDB:HMDB01924"
"AU110603"	"HMDB:HMDB01924"
"AU110604"	"HMDB:HMDB01924"
"AU110605"	"HMDB:HMDB01924"
"AU110701"	"HMDB:HMDB01932"
"AU110801"	"HMDB:HMDB01849"
"AU110903"	"HMDB:HMDB01940"
"AU110904"	"HMDB:HMDB01940"
"AU110905"	"HMDB:HMDB01940"
"AU111301"	"HMDB:HMDB01913"
"AU111302"	"HMDB:HMDB01913"
"AU111303"	"HMDB:HMDB01913"
"AU111304"	"HMDB:HMDB01913"
"AU111305"	"HMDB:HMDB01913"
"AU111403"	"HMDB:HMDB01889"
"AU111502"	"HMDB:HMDB01930"
"AU111503"	"HMDB:HMDB01930"
"AU111504"	"HMDB:HMDB01930"
"AU111505"	"HMDB:HMDB01930"
"AU111506"	"HMDB:HMDB01930"
"AU112601"	"HMDB:HMDB01859"
"AU112701"	"HMDB:HMDB01921"
"AU112702"	"HMDB:HMDB01921"
"AU112703"	"HMDB:HMDB01921"
"AU150806"	"HMDB:HMDB01848"
"AU154706"	"HMDB:HMDB01942"
"AU218301"	"HMDB:HMDB01547"
"AU218302"	"HMDB:HMDB01547"
"AU218303"	"HMDB:HMDB01547"
"AU218304"	"HMDB:HMDB01547"
"AU218305"	"HMDB:HMDB01547"
"AU222801"	"HMDB:HMDB01126"
"AU222802"	"HMDB:HMDB01126"
"AU222803"	"HMDB:HMDB01126"
"AU222804"	"HMDB:HMDB01126"
"AU222805"	"HMDB:HMDB01126"
"AU226001"	"HMDB:HMDB01850"
"AU226002"	"HMDB:HMDB01850"
"AU226003"	"HMDB:HMDB01850"
"AU226004"	"HMDB:HMDB01850"
"AU226005"	"HMDB:HMDB01850"
"AU510501"	"HMDB:HMDB00306"
"AU510502"	"HMDB:HMDB00306"
"AU510503"	"HMDB:HMDB00306"
"AU510701"	"HMDB:HMDB01432"
"AU580906"	"HMDB:HMDB01894"
"BML00236"	"HMDB:HMDB00715"
"BML00243"	"HMDB:HMDB00715"
"BML00250"	"HMDB:HMDB00715"
"BML00569"	"HMDB:HMDB01046"
"BML00575"	"HMDB:HMDB01046"
"BML00696"	"HMDB:HMDB01847"
"BML00698"	"HMDB:HMDB01389"
"BML00705"	"HMDB:HMDB01847"
"BML00707"	"HMDB:HMDB01389"
"BML00714"	"HMDB:HMDB01847"
"BML00716"	"HMDB:HMDB01389"
"BML00724"	"HMDB:HMDB01389"
"BML00731"	"HMDB:HMDB01389"
"BML00738"	"HMDB:HMDB01389"
"BML00815"	"HMDB:HMDB01850"
"BML00825"	"HMDB:HMDB01850"
"BML00835"	"HMDB:HMDB01850"
"BML01204"	"HMDB:HMDB00714"
"BML01352"	"HMDB:HMDB01218"
"BML01359"	"HMDB:HMDB01218"
"BML01366"	"HMDB:HMDB01218"
"BML01703"	"HMDB:HMDB02026"
"BML01712"	"HMDB:HMDB02026"
"BML01730"	"HMDB:HMDB02026"
"BML01737"	"HMDB:HMDB02026"
"BML01802"	"HMDB:HMDB00609"
"BML01812"	"HMDB:HMDB00609"
"BML01822"	"HMDB:HMDB00609"
"BML01832"	"HMDB:HMDB00609"
"BML01842"	"HMDB:HMDB00609"
"BML01852"	"HMDB:HMDB00609"
"CA000023"	"HMDB:HMDB00561"
"CA000167"	"HMDB:HMDB00673"
"CA000168"	"HMDB:HMDB00207"
"CA000184"	"HMDB:HMDB01072"
"CE000015"	"HMDB:HMDB00306"
"CE000016"	"HMDB:HMDB00306"
"CE000017"	"HMDB:HMDB00306"
"CE000018"	"HMDB:HMDB00306"
"CE000036"	"HMDB:HMDB00159"
"CE000037"	"HMDB:HMDB00159"
